symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
BTCUSDT,BUY,2025-07-25 05:00,116055.5,2025-08-01 18:17,0.42,0.1,120.0,10877.0,True,False,,,0.28,False,tp_half@119537.17; half_stop@113734.39
ETHUSDT,BUY,2025-08-01 21:00,3540.26,2025-08-01 22:28,-4.3,-1.07,120.0,88.0,False,False,,,0.0,False,stop@3469.45
ETHUSDT,BUY,2025-08-02 01:00,3514.95,2025-08-02 16:16,-4.34,-1.08,120.0,916.0,False,False,,,0.039,False,stop@3444.65
ETHUSDT,BUY,2025-08-02 21:00,3422.91,2025-08-03 00:37,-4.32,-1.08,120.0,217.0,False,False,,,0.02,False,stop@3354.45
SOLUSDT,SELL,2025-08-04 19:00,166.53,2025-08-05 01:07,-4.29,-1.07,120.0,367.0,False,False,,,-0.008,False,stop@169.86
SOLUSDT,BUY,2025-08-12 00:00,174.75,2025-08-13 14:52,15.31,3.83,60.0,2332.0,True,True,12.650987124463514,4.6937911301859865,0.034,False,tp_half@179.99; trail@196.86
BTCUSDT,BUY,2025-08-14 15:00,118783.7,2025-08-18 01:42,-4.45,-1.11,120.0,4962.0,False,False,,,0.15,False,stop@116408.03
ETHUSDT,BUY,2025-08-18 05:00,4334.0,2025-08-18 06:43,-4.3,-1.07,120.0,103.0,False,False,,,0.0,False,stop@4247.32
ETHUSDT,BUY,2025-08-18 10:00,4290.63,2025-08-19 04:08,-4.32,-1.08,180.0,1088.0,False,False,,,0.018,False,stop@4204.82
BTCUSDT,BUY,2025-08-19 21:00,113532.8,2025-08-24 19:37,0.48,0.12,240.0,7117.0,True,False,,,0.221,False,tp_half@116938.78; half_stop@111262.14
ETHUSDT,BUY,2025-08-25 12:00,4597.7,2025-08-25 19:18,-4.3,-1.08,60.0,438.0,False,False,,,0.005,False,stop@4505.75
ETHUSDT,BUY,2025-08-26 02:00,4418.48,2025-08-28 00:24,4.03,1.01,360.0,2784.0,True,True,1.3126686100197353,4.221361192084165,-0.02,False,tp_half@4551.03; trail@4476.48
ETHUSDT,BUY,2025-08-29 13:00,4405.1,2025-08-29 13:45,-4.3,-1.07,240.0,45.0,False,False,,,0.0,False,stop@4317.0
ETHUSDT,BUY,2025-08-29 16:00,4314.18,2025-09-01 21:41,0.63,0.16,60.0,4661.0,True,False,,,0.068,False,tp_half@4443.61; half_stop@4227.9
ETHUSDT,BUY,2025-09-04 20:00,4273.91,2025-09-05 14:28,3.66,0.91,60.0,1108.0,True,True,0.9521679211775683,4.206340330049066,-0.009,False,tp_half@4402.13; trail@4314.6
SOLUSDT,BUY,2025-09-15 10:00,235.53,2025-09-15 16:57,-4.32,-1.08,60.0,417.0,False,False,,,0.02,False,stop@230.82
SOLUSDT,BUY,2025-09-19 17:00,238.5,2025-09-22 00:31,-4.32,-1.08,60.0,3331.0,False,False,,,0.027,False,stop@233.73
SOLUSDT,BUY,2025-09-22 02:00,233.14,2025-09-22 05:59,-4.3,-1.07,60.0,239.0,False,False,,,0.0,False,stop@228.48
SOLUSDT,BUY,2025-09-22 14:00,223.66,2025-09-22 16:55,-4.32,-1.08,480.0,175.0,False,False,,,0.02,False,stop@219.19
SOLUSDT,BUY,2025-09-22 18:00,220.99,2025-09-22 19:36,-4.3,-1.07,180.0,96.0,False,False,,,0.0,False,stop@216.57
SOLUSDT,BUY,2025-09-22 21:00,219.41,2025-09-23 02:53,-4.31,-1.08,120.0,353.0,False,False,,,0.016,False,stop@215.02
SOLUSDT,BUY,2025-09-23 04:00,216.86,2025-09-24 03:21,-4.33,-1.08,60.0,1401.0,False,False,,,0.037,False,stop@212.52
SOLUSDT,BUY,2025-09-25 14:00,200.64,2025-09-25 17:15,-4.3,-1.07,240.0,195.0,False,False,,,0.003,False,stop@196.63
SOLUSDT,BUY,2025-09-25 19:00,199.41,2025-09-25 20:51,-4.3,-1.07,60.0,111.0,False,False,,,0.0,False,stop@195.42
SOLUSDT,BUY,2025-09-26 01:00,195.58,2025-09-26 10:31,-4.31,-1.08,60.0,571.0,False,False,,,0.018,False,stop@191.67
SOLUSDT,BUY,2025-10-07 17:00,224.32,2025-10-07 23:57,-4.3,-1.07,60.0,417.0,False,False,,,0.0,False,stop@219.83
