symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
BTCUSDT,BUY,2025-07-25 04:45,115684.7,2025-08-01 19:21,0.42,0.1,105.0,10956.0,True,False,,,0.281,False,tp_half@119155.24; half_stop@113371.01
ETHUSDT,BUY,2025-08-01 20:45,3525.56,2025-08-01 22:31,-4.3,-1.07,105.0,106.0,False,False,,,0.0,False,stop@3455.05
ETHUSDT,BUY,2025-08-01 23:30,3481.05,2025-08-02 18:08,-4.35,-1.09,30.0,1118.0,False,False,,,0.051,False,stop@3411.43
ETHUSDT,BUY,2025-08-02 19:30,3418.71,2025-08-03 00:37,-4.32,-1.08,30.0,307.0,False,False,,,0.02,False,stop@3350.34
SOLUSDT,SELL,2025-08-04 17:45,168.04,2025-08-05 10:32,-4.28,-1.07,45.0,1007.0,False,False,,,-0.019,False,stop@171.4
SOLUSDT,BUY,2025-08-12 00:30,175.26,2025-08-13 14:52,14.98,3.74,90.0,2302.0,True,True,12.323176994180075,4.68013237475751,0.034,False,tp_half@180.52; trail@196.86
BTCUSDT,BUY,2025-08-14 14:00,118408.5,2025-08-18 02:06,-4.45,-1.11,60.0,5046.0,False,False,,,0.15,False,stop@116040.33
BTCUSDT,BUY,2025-08-18 04:15,115290.0,2025-08-19 18:41,-4.33,-1.08,135.0,2306.0,False,False,,,0.037,False,stop@112984.2
BTCUSDT,BUY,2025-08-19 19:45,113388.8,2025-08-24 19:37,0.48,0.12,105.0,7192.0,True,False,,,0.222,False,tp_half@116790.46; half_stop@111121.02
ETHUSDT,BUY,2025-08-25 11:30,4566.8,2025-08-25 19:35,-4.3,-1.08,30.0,485.0,False,False,,,0.005,False,stop@4475.46
ETHUSDT,BUY,2025-08-25 21:30,4354.0,2025-08-28 00:24,5.54,1.39,90.0,3054.0,True,True,2.813045475424887,4.283876894809381,-0.035,False,tp_half@4484.62; trail@4476.48
ETHUSDT,BUY,2025-08-29 10:15,4348.29,2025-08-29 14:06,-4.3,-1.07,75.0,231.0,False,False,,,0.0,False,stop@4261.32
ETHUSDT,BUY,2025-09-04 20:30,4303.03,2025-09-14 15:10,8.8,2.2,90.0,14080.0,True,True,6.330357910588573,4.430431579607871,0.224,False,tp_half@4432.12; trail@4575.43
