symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
BTCUSDT,BUY,2025-07-25 10:00,116062.0,2025-08-01 18:17,0.44,0.11,420.0,10577.0,True,False,,,0.26,False,tp_half@119543.86; half_stop@113740.76
ETHUSDT,BUY,2025-08-02 01:00,3514.95,2025-08-02 16:16,-4.34,-1.08,360.0,916.0,False,False,,,0.039,False,stop@3444.65
BTCUSDT,BUY,2025-08-14 22:30,118172.3,2025-08-18 02:17,-4.43,-1.11,570.0,4547.0,False,False,,,0.13,False,stop@115808.85
BTCUSDT,BUY,2025-08-18 12:45,115275.1,2025-08-19 18:41,-4.32,-1.08,645.0,1796.0,False,False,,,0.018,False,stop@112969.6
BTCUSDT,BUY,2025-08-19 21:00,113532.8,2025-08-24 19:37,0.48,0.12,240.0,7117.0,True,False,,,0.221,False,tp_half@116938.78; half_stop@111262.14
SOLUSDT,BUY,2025-08-25 22:45,188.29,2025-08-27 20:05,10.84,2.71,165.0,2720.0,True,True,8.13447341866271,4.5056030591109435,-0.015,False,tp_half@193.94; trail@203.61
ETHUSDT,BUY,2025-08-29 12:15,4365.73,2025-08-29 14:06,-4.3,-1.07,195.0,111.0,False,False,,,0.0,False,stop@4278.42
SOLUSDT,BUY,2025-09-19 21:45,238.05,2025-09-22 00:32,-4.32,-1.08,345.0,3047.0,False,False,,,0.027,False,stop@233.29
SOLUSDT,BUY,2025-09-22 13:00,222.8,2025-09-22 17:02,-4.32,-1.08,720.0,242.0,False,False,,,0.02,False,stop@218.34
BTCUSDT,BUY,2025-10-07 20:15,122004.1,2025-10-10 15:22,-4.42,-1.11,195.0,4027.0,False,False,,,0.124,False,stop@119564.02
BTCUSDT,BUY,2025-10-10 23:45,114526.5,2025-10-11 00:02,-4.27,-1.07,405.0,17.0,False,False,,,-0.028,False,stop@112235.97
SOLUSDT,BUY,2025-10-11 02:45,190.6,2025-10-11 03:04,-4.3,-1.07,165.0,19.0,False,False,,,0.0,False,stop@186.79
SOLUSDT,BUY,2025-10-11 09:00,186.3,2025-10-11 11:04,-4.3,-1.07,360.0,124.0,False,False,,,0.0,False,stop@182.57
SOLUSDT,BUY,2025-10-12 02:30,175.62,2025-10-13 11:28,12.19,3.05,390.0,1978.0,True,True,9.277758797403484,4.553239949891808,-0.225,False,tp_half@180.89; trail@191.91
BTCUSDT,BUY,2025-10-14 14:15,111616.5,2025-10-16 15:41,-4.3,-1.08,435.0,2966.0,False,False,,,0.006,False,stop@109384.17
ETHUSDT,BUY,2025-10-22 23:15,3770.79,2025-10-24 15:57,5.26,1.31,75.0,2442.0,True,True,2.5813688908690273,4.27422370378621,0.021,False,tp_half@3883.91; trail@3868.13
SOLUSDT,BUY,2025-11-03 12:30,176.31,2025-11-03 15:26,-4.3,-1.07,510.0,176.0,False,False,,,0.0,False,stop@172.78
ETHUSDT,BUY,2025-11-03 17:45,3660.63,2025-11-03 20:46,-4.3,-1.07,105.0,181.0,False,False,,,0.0,False,stop@3587.42
ETHUSDT,BUY,2025-11-04 11:15,3510.19,2025-11-04 16:50,-4.3,-1.08,315.0,335.0,False,False,,,0.007,False,stop@3439.99
SOLUSDT,SELL,2025-11-25 00:15,137.92,2025-11-26 01:42,0.7,0.17,375.0,1527.0,True,False,,,0.001,False,tp_half@133.78; half_stop@140.68
BTCUSDT,SELL,2025-11-27 12:45,91074.8,2025-11-28 14:27,-4.31,-1.08,285.0,1542.0,False,False,,,0.002,False,stop@92896.3
ETHUSDT,SELL,2025-12-02 20:15,3002.77,2025-12-03 05:06,-4.29,-1.07,315.0,531.0,False,False,,,-0.01,False,stop@3062.83
SOLUSDT,SELL,2025-12-03 08:00,141.82,2025-12-03 21:57,-4.28,-1.07,660.0,837.0,False,False,,,-0.02,False,stop@144.66
ETHUSDT,SELL,2025-12-04 04:45,3196.41,2025-12-07 15:55,8.06,2.02,405.0,4990.0,True,True,5.351316007646069,3.640333999705924,-0.003,False,tp_half@3100.52; trail@3025.36
SOLUSDT,SELL,2025-12-09 20:45,140.05,2025-12-11 18:20,7.03,1.76,225.0,2735.0,True,True,4.3170296322742026,3.680114244912528,-0.005,False,tp_half@135.85; trail@134.0
SOLUSDT,SELL,2025-12-29 06:00,127.7,2026-01-02 16:15,0.8,0.2,300.0,6375.0,True,False,,,-0.097,False,tp_half@123.87; half_stop@130.25
ETHUSDT,SELL,2026-01-03 02:15,3120.15,2026-01-05 01:07,-4.28,-1.07,195.0,2812.0,False,False,,,-0.023,False,stop@3182.55
ETHUSDT,SELL,2026-01-05 04:15,3172.81,2026-01-05 20:03,-4.3,-1.08,135.0,948.0,False,False,,,-0.0,False,stop@3236.27
ETHUSDT,SELL,2026-01-06 00:00,3224.01,2026-01-06 14:16,-4.29,-1.07,180.0,856.0,False,False,,,-0.01,False,stop@3288.49
ETHUSDT,SELL,2026-01-06 16:30,3247.1,2026-01-13 15:56,5.01,1.25,90.0,10046.0,True,True,2.2369252563826096,3.7601182593699085,-0.073,False,tp_half@3149.69; trail@3174.46
BTCUSDT,SELL,2026-01-13 22:00,94047.9,2026-01-13 22:10,-4.3,-1.08,360.0,10.0,False,False,,,0.0,False,stop@95928.86
BTCUSDT,SELL,2026-01-14 04:45,95238.0,2026-01-14 16:09,-4.26,-1.07,345.0,684.0,False,False,,,-0.04,False,stop@97142.76
BTCUSDT,SELL,2026-02-13 20:15,68767.0,2026-02-14 11:13,-4.31,-1.08,255.0,898.0,False,False,,,0.006,False,stop@70142.34
BTCUSDT,SELL,2026-02-25 20:15,68615.4,2026-02-25 21:36,-4.3,-1.08,315.0,81.0,False,False,,,0.0,False,stop@69987.71
BTCUSDT,SELL,2026-02-25 22:45,68391.6,2026-02-28 17:58,6.98,1.74,105.0,4033.0,True,True,4.240883383339479,3.6830429467946355,-0.034,False,tp_half@66339.85; trail@65491.19
SOLUSDT,SELL,2026-03-01 06:45,86.41,2026-03-02 00:44,4.5,1.12,285.0,1079.0,True,True,1.7530378428422568,3.7787293137368443,-0.039,False,tp_half@83.82; trail@84.9
BTCUSDT,SELL,2026-03-02 23:30,68969.9,2026-03-04 08:46,0.71,0.18,390.0,1996.0,True,False,,,-0.008,False,tp_half@66900.8; half_stop@70349.3
BTCUSDT,SELL,2026-03-04 12:15,70850.2,2026-03-04 14:31,-4.3,-1.08,195.0,136.0,False,False,,,0.0,False,stop@72267.2
ETHUSDT,SELL,2026-03-04 21:00,2149.36,2026-03-09 03:10,10.31,2.58,300.0,6130.0,True,True,7.633081475415938,3.5525737894070812,0.026,False,tp_half@2084.88; trail@1985.3
BTCUSDT,SELL,2026-03-16 01:15,72284.3,2026-03-16 03:34,-4.3,-1.08,135.0,139.0,False,False,,,0.0,False,stop@73729.99
BTCUSDT,SELL,2026-03-16 07:45,73454.0,2026-03-17 00:07,-4.27,-1.07,225.0,982.0,False,False,,,-0.032,False,stop@74923.08
ETHUSDT,SELL,2026-03-17 03:15,2341.33,2026-03-23 11:05,12.92,3.23,255.0,9110.0,True,True,10.19415460443422,3.4540709767525413,-0.015,False,tp_half@2271.09; trail@2102.65
BTCUSDT,SELL,2026-04-27 05:00,78895.8,2026-05-01 12:33,3.94,0.99,240.0,6213.0,True,True,1.2672410952167326,3.797413804030126,0.028,False,tp_half@76528.93; trail@77896.0
BTCUSDT,SELL,2026-05-01 20:45,77943.8,2026-05-04 01:55,-4.31,-1.08,465.0,3190.0,False,False,,,0.007,False,stop@79502.68
BTCUSDT,SELL,2026-05-04 06:15,79870.5,2026-05-05 13:05,-4.32,-1.08,195.0,1850.0,False,False,,,0.013,False,stop@81467.91
ETHUSDT,SELL,2026-06-07 11:00,1624.89,2026-06-07 22:13,-4.32,-1.08,120.0,673.0,False,False,,,0.019,False,stop@1657.39
ETHUSDT,SELL,2026-06-08 04:15,1668.27,2026-06-08 15:12,-4.32,-1.08,315.0,657.0,False,False,,,0.013,False,stop@1701.64
ETHUSDT,SELL,2026-06-15 01:30,1710.88,2026-06-15 10:54,-4.3,-1.08,210.0,564.0,False,False,,,-0.003,False,stop@1745.1
SOLUSDT,SELL,2026-06-15 21:30,74.42,2026-06-20 04:39,7.86,1.97,630.0,6189.0,True,True,5.16742811072293,3.6474066111260384,0.011,False,tp_half@72.19; trail@70.57
ETHUSDT,SELL,2026-06-29 21:30,1615.3,2026-07-02 09:38,0.74,0.18,210.0,3608.0,True,False,,,-0.038,False,tp_half@1566.84; half_stop@1647.61
ETHUSDT,SELL,2026-07-02 23:15,1692.09,2026-07-03 08:43,-4.28,-1.07,555.0,568.0,False,False,,,-0.022,False,stop@1725.93
SOLUSDT,SELL,2026-07-04 07:00,82.52,2026-07-10 01:49,6.63,1.66,120.0,8329.0,True,True,3.914687348521574,3.695588948133784,-0.014,False,tp_half@80.04; trail@79.29
BTCUSDT,SELL,2026-07-10 06:30,63887.8,2026-07-11 14:00,-1.29,-0.32,210.0,1890.0,False,False,,,-0.075,False,eod@64227.1
