symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
ETHUSDT,BUY,2025-08-01 12:15,3653.35,2025-08-01 13:53,-4.3,-1.07,315.0,98.0,False,False,,,0.0,False,stop@3580.28
SOLUSDT,BUY,2025-08-15 23:00,187.61,2025-08-18 02:33,0.63,0.16,480.0,3093.0,True,False,,,0.07,False,tp_half@193.24; half_stop@183.86
BTCUSDT,BUY,2025-08-18 13:00,115469.7,2025-08-19 17:01,-4.32,-1.08,660.0,1681.0,False,False,,,0.018,False,stop@113160.31
SOLUSDT,BUY,2025-08-26 05:30,188.69,2025-08-27 20:05,10.59,2.65,570.0,2315.0,True,True,7.905241401240135,4.49605172505167,0.009,False,tp_half@194.35; trail@203.61
SOLUSDT,BUY,2025-09-19 22:00,238.31,2025-09-22 00:32,-4.32,-1.08,360.0,3032.0,False,False,,,0.027,False,stop@233.54
SOLUSDT,BUY,2025-09-22 13:15,223.89,2025-09-22 16:53,-4.32,-1.08,735.0,218.0,False,False,,,0.02,False,stop@219.41
BTCUSDT,BUY,2025-10-07 20:30,122160.2,2025-10-09 16:59,-4.38,-1.1,210.0,2669.0,False,False,,,0.084,False,stop@119717.0
SOLUSDT,BUY,2025-10-11 09:15,186.65,2025-10-11 10:44,-4.3,-1.07,555.0,89.0,False,False,,,0.0,False,stop@182.92
BTCUSDT,BUY,2025-10-14 14:30,111758.2,2025-10-16 15:41,-4.3,-1.08,450.0,2951.0,False,False,,,0.006,False,stop@109523.04
ETHUSDT,BUY,2025-10-22 23:30,3793.78,2025-10-24 15:57,4.62,1.15,90.0,2427.0,True,True,1.959734091064847,4.2483222537943695,0.036,False,tp_half@3907.59; trail@3868.13
ETHUSDT,BUY,2025-11-03 18:00,3664.45,2025-11-03 20:42,-4.3,-1.07,120.0,162.0,False,False,,,0.0,False,stop@3591.16
ETHUSDT,BUY,2025-11-04 12:00,3527.21,2025-11-04 16:24,-4.3,-1.08,360.0,264.0,False,False,,,0.007,False,stop@3456.67
SOLUSDT,SELL,2025-11-25 00:30,137.6,2025-11-25 23:19,0.69,0.17,390.0,1369.0,True,False,,,0.01,False,tp_half@133.47; half_stop@140.35
BTCUSDT,SELL,2025-11-27 13:00,90950.3,2025-11-28 14:25,-4.31,-1.08,300.0,1525.0,False,False,,,0.002,False,stop@92769.31
ETHUSDT,SELL,2025-12-02 20:30,2982.87,2025-12-03 02:13,-4.29,-1.07,330.0,343.0,False,False,,,-0.01,False,stop@3042.53
SOLUSDT,SELL,2025-12-03 11:00,141.27,2025-12-03 21:57,-4.28,-1.07,420.0,657.0,False,False,,,-0.02,False,stop@144.1
ETHUSDT,SELL,2025-12-04 05:00,3190.49,2025-12-07 15:55,7.88,1.97,300.0,4975.0,True,True,5.175694015652757,3.6470886917056666,-0.003,False,tp_half@3094.78; trail@3025.36
ETHUSDT,SELL,2026-01-05 04:30,3163.76,2026-01-05 17:58,-4.3,-1.08,150.0,808.0,False,False,,,-0.0,False,stop@3227.04
ETHUSDT,SELL,2026-01-06 16:45,3241.17,2026-01-13 15:56,4.84,1.21,105.0,10031.0,True,True,2.0580592810620817,3.76699771995916,-0.073,False,tp_half@3143.93; trail@3174.46
ETHUSDT,SELL,2026-01-14 09:00,3325.74,2026-01-14 16:31,-4.28,-1.07,240.0,451.0,False,False,,,-0.02,False,stop@3392.25
ETHUSDT,SELL,2026-02-13 20:45,2044.28,2026-02-14 08:06,-4.31,-1.08,285.0,681.0,False,False,,,0.009,False,stop@2085.17
ETHUSDT,SELL,2026-02-26 08:00,2052.73,2026-02-28 13:53,9.8,2.45,180.0,3233.0,True,True,7.089894920423044,3.573465579983736,-0.007,False,tp_half@1991.15; trail@1907.19
BTCUSDT,SELL,2026-03-02 23:45,68766.2,2026-03-04 08:46,0.71,0.18,405.0,1981.0,True,False,,,-0.008,False,tp_half@66703.21; half_stop@70141.52
BTCUSDT,SELL,2026-03-04 12:30,70603.1,2026-03-04 14:30,-4.3,-1.08,210.0,120.0,False,False,,,0.0,False,stop@72015.16
ETHUSDT,SELL,2026-03-04 21:15,2144.37,2026-03-09 03:10,10.1,2.52,315.0,6115.0,True,True,7.418141458796747,3.5608407131232043,0.026,False,tp_half@2080.04; trail@1985.3
BTCUSDT,SELL,2026-03-16 08:00,73426.9,2026-03-16 23:45,-4.3,-1.08,240.0,945.0,False,False,,,0.0,False,stop@74895.44
ETHUSDT,SELL,2026-03-17 03:30,2335.66,2026-03-23 11:05,12.7,3.18,150.0,9095.0,True,True,9.976143788051326,3.462456008151883,-0.015,False,tp_half@2265.59; trail@2102.65
BTCUSDT,SELL,2026-05-01 21:00,77836.0,2026-05-03 22:15,-4.32,-1.08,480.0,2955.0,False,False,,,0.021,False,stop@79392.72
BTCUSDT,SELL,2026-05-04 06:30,79675.9,2026-05-05 05:39,-4.32,-1.08,210.0,1389.0,False,False,,,0.013,False,stop@81269.42
ETHUSDT,SELL,2026-06-08 04:30,1665.58,2026-06-08 15:03,-4.32,-1.08,330.0,633.0,False,False,,,0.013,False,stop@1698.89
ETHUSDT,SELL,2026-06-15 22:15,1808.1,2026-06-20 14:46,6.65,1.66,675.0,6751.0,True,True,3.9065538410485976,3.695901775344291,-0.04,False,tp_half@1753.86; trail@1737.47
